surrgain,EpRewMean,meankl,EpisodesSoFar,EpTrueRewMean,TimeElapsed,TimestepsSoFar,entloss,EpThisIter,EpLenMean,ev_tdlam_before,entropy,optimgain
0.24675249,0.34085578,0.006042612,14241,394.11457346649644,25697.303650140762,1115921,0.0,13,78.325,-0.06311261653900146,23.60201,0.24675249
0.3687555,0.5561842,0.0050388253,14254,392.4363322235558,25720.0204911232,1116941,0.0,13,77.875,-0.1299595832824707,23.602049,0.3687555
0.2196838,0.67783105,0.0044362545,14267,395.8001419717514,25742.423620224,1117980,0.0,13,78.025,0.17061293125152588,23.601696,0.2196838
0.24826944,0.7455282,0.0049583176,14279,405.0484134778068,25765.5022521019,1118998,0.0,12,80.1,-0.05399167537689209,23.601107,0.24826944
0.15535045,0.5871829,0.0066012596,14291,422.4154990102228,25788.46444416046,1120016,0.0,12,83.575,-0.40466344356536865,23.601435,0.15535045
0.21607271,0.50156057,0.0056616166,14303,421.13444770718763,25811.376659154892,1121003,0.0,12,83.0,-0.16704797744750977,23.601528,0.21607271
0.1676529,0.3592277,0.005209421,14316,422.1252231974272,25834.370349168777,1122069,0.0,13,83.3,-0.37179458141326904,23.599453,0.1676529
0.30266508,0.41867074,0.005443439,14330,398.50463239830736,25857.282848119736,1123068,0.0,14,78.25,-0.11621749401092529,23.597492,0.30266508
0.30060562,0.3884682,0.0052723577,14344,392.0007505119313,25880.401306152344,1124164,0.0,14,76.8,-0.6790822744369507,23.594692,0.30060562
0.24811278,0.54988015,0.0050602546,14356,396.6687548077345,25903.226269245148,1125144,0.0,12,76.875,0.06567418575286865,23.595858,0.24811278
0.2990623,0.5014405,0.00651009,14368,421.59398599456216,25926.401073217392,1126206,0.0,12,81.725,-0.08908188343048096,23.596647,0.2990623
0.22381015,0.56572837,0.0050591743,14382,415.55420088937865,25966.433561086655,1127264,0.0,14,81.425,-0.04121041297912598,23.595743,0.22381015
0.22503743,0.47871494,0.00558767,14396,407.581183666146,25989.522660255432,1128400,0.0,14,81.4,-0.037053823471069336,23.592808,0.22503743
0.16100004,0.42554626,0.004974478,14409,385.75855214922365,26012.219410181046,1129419,0.0,13,77.725,-0.3656357526779175,23.592611,0.16100004
0.27497178,0.71773136,0.00523631,14421,393.9334729640248,26035.286942243576,1130373,0.0,12,79.4,-0.0065765380859375,23.589972,0.27497178
0.22030146,0.78279924,0.0053357724,14433,412.0571011673459,26058.636115312576,1131426,0.0,12,82.175,0.2143600583076477,23.59033,0.22030146
0.16028619,0.75736105,0.0054438654,14445,422.69019014029084,26081.630123138428,1132453,0.0,12,84.225,-1.0411784648895264,23.59183,0.16028619
0.3520026,0.4963728,0.0072792573,14459,412.3527457668706,26104.583609104156,1133495,0.0,14,81.7,-0.6616076231002808,23.592733,0.3520026
0.26956838,0.5660498,0.005289642,14471,406.69799001367744,26127.633330345154,1134473,0.0,12,81.25,0.3823312520980835,23.593266,0.26956838
0.21649164,0.5320512,0.0043846946,14485,384.73014361175626,26150.61890912056,1135481,0.0,14,75.7,-0.09358477592468262,23.595182,0.21649164
0.18098366,0.5250614,0.0048402003,14497,403.5532214960864,26173.650373220444,1136501,0.0,12,79.425,-1.1297554969787598,23.595867,0.18098366
0.19371837,0.5985079,0.0054843435,14509,408.4262029758537,26196.91876411438,1137496,0.0,12,79.375,-0.18319666385650635,23.596516,0.19371837
0.29586655,0.60579693,0.0057234773,14522,413.5282815694756,26220.0607149601,1138521,0.0,13,81.225,-0.36592578887939453,23.5962,0.29586655
0.16189654,0.56613076,0.005952695,14534,416.77403502166635,26243.522893190384,1139498,0.0,12,82.55,-0.23095500469207764,23.595743,0.16189654
0.18252791,0.50307846,0.0048460877,14546,417.3315541124881,26266.412174224854,1140583,0.0,12,82.6,-0.1051713228225708,23.598465,0.18252791
0.20939958,0.43377978,0.0054033673,14559,428.15493611561794,26289.49347114563,1141639,0.0,13,84.05,-0.18113648891448975,23.59782,0.20939958
0.19325125,0.3950282,0.0058385925,14571,430.09663753457227,26312.691342115402,1142633,0.0,12,85.275,0.10607075691223145,23.597624,0.19325125
0.51592803,0.3490181,0.0067060376,14584,401.6264742721851,26335.85809993744,1143611,0.0,13,79.75,-0.254003643989563,23.598276,0.51592803
0.20891352,0.36740726,0.0054822136,14596,389.5241810652347,26359.53697514534,1144558,0.0,12,78.35,-0.0712728500366211,23.59911,0.20891352
0.17698745,0.32690448,0.0053300518,14608,397.08885433990343,26387.043575048447,1145580,0.0,12,79.8,0.03110480308532715,23.600422,0.17698745
0.2223035,0.33476856,0.0054874206,14620,408.9874113645427,26410.21217918396,1146602,0.0,12,82.025,-0.18595266342163086,23.602041,0.2223035
0.17516437,0.34789413,0.0053550825,14633,414.8003531656559,26433.063865184784,1147647,0.0,13,83.075,-0.0844646692276001,23.600424,0.17516437
0.25299025,0.45916194,0.0052862857,14646,419.24003466588465,26456.10854125023,1148721,0.0,13,83.225,-0.08762729167938232,23.601528,0.25299025
0.21470281,0.48128778,0.0058960393,14659,417.567140749964,26479.192633152008,1149812,0.0,13,82.275,-0.060658931732177734,23.599642,0.21470281
0.2475444,0.5686604,0.005147311,14672,408.1179529571227,26502.043476104736,1150807,0.0,13,80.75,0.03121495246887207,23.599773,0.2475444
0.24526243,0.46690816,0.0056162733,14685,399.0423520063585,26525.15426301956,1151820,0.0,13,79.05,-0.37501776218414307,23.598759,0.24526243
0.1887686,0.49964112,0.0073618665,14697,398.87173381228615,26548.192307949066,1152809,0.0,12,79.725,-0.16906988620758057,23.598757,0.1887686
1.4725112,0.49319464,0.007071468,14709,409.75076601423405,26571.2579061985,1153756,0.0,12,81.325,0.02635657787322998,23.596804,1.4725112
0.23871653,0.54011184,0.0053307028,14720,419.9933943718073,26594.507674217224,1154742,0.0,11,83.325,-0.04819178581237793,23.596554,0.23871653
0.2556263,0.5805093,0.005454341,14733,411.73834725738635,26617.712872982025,1155764,0.0,13,81.775,-0.05080389976501465,23.593884,0.2556263
0.21967897,0.5588525,0.00669783,14746,411.63767016716764,26640.88252711296,1156801,0.0,13,81.575,0.051908135414123535,23.59326,0.21967897
0.20594917,0.44445086,0.005861725,14759,399.64167091765154,26663.993318080902,1157832,0.0,13,78.875,-0.3627859354019165,23.593906,0.20594917
0.33705318,0.824316,0.005757538,14771,405.23805755749646,26687.367950201035,1158864,0.0,12,80.85,0.091805100440979,23.593264,0.33705318
